,LICENSE#,FULL NAME,DBA NAME,LICENSE TYPE,SITE LOCATION,ZIP,isyelp
99,BU03037302,EFREM SEEGER,,BU,1149  CEDAR AVE,90813,False
100,BU20111321,KIM E AUSTIN,,BU,1338  LINDEN AVE,90813,False
101,BU20001820,GIL YONG PARK,PARK'S TRANSMISSION SERVICE,BU,1110  LONG BEACH BLVD,90813,False
102,BU07032341,JOHN E & ELIZABETH M DIXON,,BU,615 E 10TH ST,90813,False
103,BU07032351,MAJID & LUZ SAEDIFAR,,BU,980  ATLANTIC AVE,90813,False
104,BU07033311,PERRY JEFF,,BU,2000 W 16TH ST,90813,False
105,BU07033410,J B D PARTNERSHIP,,BU,1440 W 17TH ST,90813,False
106,BU20040610,OVERSEAS FREIGHT INC,,BU,1525  SEABRIGHT AVE,90813,False
107,BU07029032,URBANA DEVELOPMENT LLC,,BU,425 E 4TH ST  425-441 E 4th St,90802,False
108,BU20513722,MARK E & I LORENA EDINGTON,,BU,952  CEDAR AVE  952-58 Cedar Ave,90813,False
109,BU07060062,B 1300-1310 LONG BEACH BOULEVARD,,BU,1310  LONG BEACH BLVD,90813,False
110,BU07060090,LLC LONG BEACH PLAZA,,BU,1333  LONG BEACH BLVD  Includes 1301-33 Long Beach Blvd,90813,False
111,BU06059146,IVAN PIZANA,,BU,1460  HENDERSON AVE,90813,False
112,BU20319110,LAFAYETTE ASSOCIATION OF HOMEOWNERS INC,,BU,140  LINDEN AVE  144-146 Linden;500-540 E Broadwy,90802,False
113,BU20720410,RDL CAPITAL INC,COLDSTONE CREAMERY,BU,25  AQUARIUM WAY,90802,False
114,BU20049460,LARRY B HOLMES,HOLMES & ASSOCIATES,BU,400  OCEANGATE  550,90802,False
115,BU20356330,PAMELA KELLY,,BU,1356  LINDEN AVE,90813,False
116,BU03032913,LMNO PROPERTIES LLC,,BU,1538  CEDAR AVE,90813,False
117,BU03033100,RAUL G MAZA,,BU,1581  PINE AVE,90813,False
118,BU07048241,BROADWAY EAST PROPERTIES LLC,,BU,968 E BROADWAY   970 E Broadway,90802,False
119,BU20350400,OXY TIDELANDS INC & OXY WILMINGTON LLC,TIDELANDS OIL PRODUCTION COMPANY,BU,301 E OCEAN BLVD 300,90802,False
120,BU20716500,TODD BROWER,TODD BROWER,BU,115 W 4TH ST 304,90802,False
121,BU03040934,TREE 1 LLC,,BU,1035  LIME AVE  1035-1039 Lime Ave,90813,False
122,BU03040940,LOUIS M AND CAROLE R OWENS,,BU,1025  LIME AVE,90813,False
123,BU20538960,ARNULFO PUENTES,A & A AEROSPACE FORMING & FABRICATION,BU,1951 W 16TH ST,90813,False
124,BU00045100,CONNOLLY PACIFIC CO,CONNOLLY PACIFIC CO,BU,1925  PIER D ST,90802,False
125,BU03058151,FIFTH STREET INVESTMENTS LLC,,BU,135 W 5TH ST,90802,False
126,BU03058160,ROSE APARTMENTS,,BU,125 W 5TH ST,90802,False
127,BU03058361,"ALEVY, ALLEN",,BU,700 E ESTHER ST  Includes 630-790 E Esther St,90813,False
128,BU02030150,CMAC CONSTRUCTION COMPANY,CMAC CONSTRUCTION COMPANY,BU,1461  CANAL AVE,90813,False
129,BU03038522,THE GRACE CHANG REVOCABLE LIVING TRUST TR,,BU,433 W 7TH ST,90813,False
130,BU07060291,"MOINEE, MIKE & SHOLEH TR",,BU,1504  LONG BEACH BLVD,90813,False
131,BU07040591,"LORDING, TERENCE A TRUST",,BU,470 W ANAHEIM ST  Incl 468-474 W Anaheim St,90813,False
132,BU07040612,ABDUL W HIDAYATHULLA,,BU,500 W ANAHEIM ST,90813,False
133,BU07037811,JOEL & LORI MARFIELD,,BU,501 E ANAHEIM ST,90813,False
134,BU07037831,"MANDALIA, C & F 2008 TRUST",,BU,526 E ANAHEIM ST  526 1/2 E Anaheim St,90813,False
135,BU20652800,KRISTIN DUNN,,BU,207 E BROADWAY,90802,False
136,BU03041090,LIN M ENRIGHT,,BU,626 E 9TH ST  Includes 626-30 E 9th St,90813,False
137,BU03035441,DAVID & ROGELIA GALLEGOS,,BU,1450  HENDERSON AVE,90813,False
138,BU03034973,1614 HENDERSON APARTMENTS LLC,,BU,1614  HENDERSON AVE,90813,False
139,BU03034991,THOMAS FAMILY TRUST,,BU,1524  HENDERSON AVE  1524-30 Henderson Ave,90813,False
140,BU03035001,A CALIFORNIA CORP SHAKIBAEI CORPORATION,,BU,1512  HENDERSON AVE,90813,False
141,BU03035043,KITTY LEW,,BU,1585  CHESTNUT AVE,90813,False
142,BU03035051,JPP-S JOHNSON,,BU,1579  CHESTNUT AVE,90813,False
143,BU04035981,JOSEPH STRUKELJ,J S AUTO SERVICE,BU,912 E 3RD ST,90802,False
144,BU03036401,MICHAEL J LIGHTMAN,,BU,918  MAINE AVE  918-24 Maine Ave,90813,False
145,BU03036413,GLORIA M GAMINO,,BU,934  MAINE AVE  934-940 Maine Ave,90813,False
146,BU03036420,FERNANDO L VIZCARRA,,BU,942  MAINE AVE  Includes 942-48 Maine Ave,90813,False
147,BU03036451,AMUSEMENT INDUSTRY,,BU,913  DAISY AVE,90813,False
148,BU03036461,ATHENA P PAQUETTE,,BU,903  DAISY AVE,90813,False
149,BU20429820,MARC COLEMAN,LAW OFFICES OF MARC COLEMAN,BU,211 E OCEAN BLVD 420,90802,False
150,BU03038012,TREE 1 LLC,,BU,820  CEDAR AVE,90813,False
151,BU20231821,ELM TERRACE HOLDING LLC,,BU,1101  ELM AVE,90813,False
152,BU07034301,IMPACT INDUSTRIES WESTERN LTD,,BU,1461 W 14TH ST,90813,False
153,BU07034310,LAWRENCE C ANDERSON,,BU,1511 W 14TH ST,90813,False
154,BU07042481,"SOBEL, ROBERT S TRUST",,BU,260  ATLANTIC AVE  280 Atlantic Ave,90802,False
155,BU03036751,SARAH C HADLEY,,BU,600 W 8TH ST  600-12 W 8th St/755 Daisy Ave,90813,False
156,BU03036790,ROBERT J AND LINDA S SILBER,,BU,1220  CEDAR AVE,90813,False
157,BU03036822,1229 CEDAR AVENUE PARTNERS LLC,,BU,1229  CEDAR AVE,90813,False
158,BU20337290,MICHAEL W BINNING,LAW OFFICE OF MICHAEL W BINNING,BU,200  OCEANGATE  845,90802,False
159,BU20249410,PAYLESS SHOESOURCE INC,PAYLESS SHOESOURCE #3249,BU,201 E 5TH ST,90802,False
160,BU07032984,LEER INVESTMENTS LLC,,BU,115 E 12TH ST  115-21 1/2 E 12th St,90813,False
161,BU03058470,WHZ ASSOCIATES,,BU,921 E BROADWAY,90802,False
162,BU03058740,LONG BEACH DAY NURSERY INC,LONG BEACH DAY NURSERY,BU,1548  CHESTNUT AVE,90813,False
163,BU20617132,RATANA KAS,NICO IRON WORKS,BU,500 W 16TH ST,90813,False
164,BU03046930,BOB SUN,,BU,355  CHESTNUT AVE,90802,False
165,BU03046941,RICHARD G HUNNICUTT,,BU,356  MAGNOLIA AVE,90802,False
166,BU03046953,TERESA MACEDO,,BU,422 W 4TH ST,90802,False
167,BU03039204,TREE 1 LLC,,BU,1111  PINE AVE,90813,False
168,BU03039240,CHAMP INVESTMENTS,,BU,1133  LOCUST AVE,90813,False
169,BU03039270,GAIL J COOPER,,BU,1017  LOCUST AVE,90813,False
170,BU03034154,SANT MINA LLC ETAL,,BU,1575  LINDEN AVE,90813,False
171,BU03034230,MANUEL J & MABLE T SIMAS,,BU,1443  LINDEN AVE,90813,False
172,BU03034765,LB PRO LLC,,BU,1701  CEDAR AVE,90813,False
173,BU03034792,BEHAVIORAL HEALTH SERVICES,REDGATE MEMORIAL RECOVERY CENTER,BU,1741  CHESTNUT AVE,90813,False
174,BU03034820,MANUEL & CECILIA RAMIREZ,,BU,1726  HENDERSON AVE,90813,False
175,BU03034830,G L BURK,,BU,1722  HENDERSON AVE,90813,False
176,BU20200351,MIDONNA INC,BLUE ENGRAVERS,BU,1375  CASPIAN AVE,90813,False
177,BU07083940,SARKIS HOVSEPIAN,CITY PAPER & METAL CO,BU,1452 W 11TH ST,90813,False
178,BU20520281,333 W BROADWAY LLC,,BU,333 W BROADWAY,90802,False
179,BU20328610,ISMAEL SANCHEZ,,BU,627  LINDEN AVE 1,90802,False
180,BU03039089,JOHN G & PAMELA L PETERSEN,,BU,1245  PINE AVE,90813,False
181,BU03039091,MARIA & JORGE TELLO-GARCIA,,BU,1239  PINE AVE  1237-39-41-43 Pine Ave,90813,False
182,BU20719040,RAFAELA VASQUEZ,ARCO,BU,532 W ANAHEIM ST,90813,False
183,BU03037027,HANS A KLEIN,,BU,1228  LOMA VISTA DR  Includes 1166 Magnolia Ave,90813,False
184,BU03038832,KGP II LLC,,BU,624  MAGNOLIA AVE,90802,False
185,BU03038841,CINDI MILRAD,,BU,616  MAGNOLIA AVE,90802,False
186,BU03038860,ALAN MCGOWAN,,BU,401 W 6TH ST,90802,False
187,BU03038941,NEIL CADMAN,,BU,1132  ELM AVE,90813,False
188,BU03038980,TIGGER INVESTMENTS,,BU,1135  LINDEN AVE,90813,False
189,BU20640830,WILLIAM DUNN,W C D MASONRY,BU,1101  ELM AVE 206,90813,False
190,BU03041267,JAVIER E GARCIA,,BU,532 E 7TH ST,90813,False
191,BU20531580,SOUTH COAST INTERFAITH COUNCIL,HARBOR AREA FARMER'S MARKETS,BU,759  LINDEN AVE,90813,False
192,BU00087560,"DION, M O & SONS INC",,BU,1569 W 16TH ST,90813,False
193,BU05075350,SANTA FE IMPORTERS INC,,BU,1333  SANTA FE AVE,90813,False
194,BU20241272,GUADALUPE FERNANDEZ,J & J WROUGHT IRON,BU,1345  GAYLORD ST,90813,False
195,BU20634230,ROBERTA A JACOBS,CAREERPATH EMPLOYMENT AGENCY,BU,120  ALAMITOS AVE 4,90802,False
196,BU03031372,VAING BUTSANOY,,BU,1437  MARTIN LUTHER KING JR AVE,90813,False
197,BU03031401,JOSEPH W SEELING,,BU,1415  MARTIN LUTHER KING JR AVE,90813,False
198,BU20450520,ELISEO HERNANDEZ,AMIGOS' TRANSMISSION CLUTCH REPAIR,BU,1460  LONG BEACH BLVD,90813,False
199,BU20448940,ABLE ENGINEERING SERVICES,,BU,525 E SEASIDE WAY,90802,False
200,BU20425670,R R M DESIGN GROUP,,BU,200  PINE AVE,90802,False
201,BU00023610,B T EQUIPMENT CO INC,,BU,1250 W 17TH ST,90813,False
202,BU00024010,BERNS BROS INC,"BERNS CO,THE",BU,1250 W 17TH ST,90813,False
203,BU07042801,DIGNITY HEALTH,,BU,1025  ATLANTIC AVE,90813,False
204,BU07042821,DIGNITY HEALTH,,BU,1045  ATLANTIC AVE,90813,False
205,BU07042831,"TUNG VAN & TUYET, YEN VU",,BU,1050  ATLANTIC AVE  Includes 1050-52 Atlantic Ave,90813,False
206,BU07048571,SPOT INVESTMENT,,BU,110 E BROADWAY   110-20 E Broadway/152 Pine Ave,90802,False
207,BU20217910,THE SALVATION ARMY A CA CORP,,BU,180 E OCEAN BLVD,90802,False
208,BU07014900,GREATER LONG BEACH GENITOURINARY,,BU,1045  ATLANTIC AVE 915,90813,False
209,BU07049360,FLORENCE DIX & BLACKWELDER,,BU,1119  CANAL AVE,90813,False
210,BU07049420,"MICHAEL TR, MCFADDEN FAMILY TRUST MCFADDEN",,BU,1487  CANAL AVE  Includes 1487-91 Canal Ave,90813,False
211,BU20411710,WILLIAM N BROOKS II,LAW OFFICE OF WILLIAM N BROOKS,BU,100 W BROADWAY  675,90802,False
212,BU20562010,BRIDGESTONE/FIRESTONE RETAIL & COMM LLC,FIRESTONE COMPLETE AUTO CARE,BU,636  LOCUST AVE,90802,False
213,BU20624250,SRKH INVESTMENT LLC,PCH POULTRY & MARKET,BU,1701  MAGNOLIA AVE,90813,False
214,BU20716720,URBAN HOTEL GROUP LLC,,BU,335  PACIFIC AVE,90802,False
215,BU20425241,REGINA MARTINEZ,,BU,935  ELM AVE,90813,False
216,BU20124970,RICARDO RODRIGUEZ,SANTA FE GARAGE,BU,1581  SANTA FE AVE,90813,False
217,BU03093780,"G & VAUGHAN, JONATHAN HASTINGS",HASTINGS & VAUGHAN,BU,1560  SANTA FE AVE,90813,False
218,BU07067252,FOUR HUNDRED SEVEN GARDENA LLC,,BU,1492  OREGON AVE,90813,False
219,BU07067280,ETTA M ENOCH,,BU,1600  OREGON AVE,90813,False
220,BU07067290,ETTA M ENOCH,,BU,1640  OREGON AVE,90813,False
221,BU20529230,WALGREEN CO,WALGREEN #07870,BU,600  LONG BEACH BLVD,90802,False
222,BU07030891,NORBY ACEVEDO,,BU,865 E 7TH ST,90813,False
223,BU20616830,MARIA P AYALA,,BU,528  CEDAR AVE 1C,90802,False
224,BU20316240,CHRIST SECOND BAPTIST CHURCH,,BU,1471  MARTIN LUTHER KING JR AVE,90813,False
225,BU07036052,ROVAR PROPERTIES LLC,,BU,2351 W 16TH ST,90813,False
226,BU20523011,2450 COLORADO BLVD LLC,,BU,1133  PINE AVE  Units 1-20,90813,False
227,BU07074151,FAEC HOLDINGS 392920 LLC,,BU,1630  SAN FRANCISCO AVE,90813,False
228,BU07074191,TRANS HARBOR,,BU,1130  SANTA FE AVE,90813,False
229,BU07072921,"SAN SOCHEATA,& LONGAN TRUST",,BU,1142  PINE AVE  1142-46 Pine Ave,90813,False
230,BU07072962,1205 PINE AVE LLLP,,BU,1205  PINE AVE  1205-1207 Pine Ave,90813,False
231,BU07040673,JOHN T LAMBROS,,BU,620 W ANAHEIM ST,90813,False
232,BU07040691,"WATERMAN,WENDY A TRUST",,BU,645 W ANAHEIM ST  654-647 W Anaheim St,90813,False
233,BU20701225,RICHARD SALDANA,THE VILLAGE GRIND,BU,443 E 1ST ST,90802,False
234,BU20618681,RAFAEL GOMEZ,DANNY'S WELDING LB,BU,1345  GAYLORD ST,90813,False
235,BU20424960,PINE STREET LTD,,BU,1239  LOCUST AVE,90813,False
236,BU07029071,KAHOY PROPERTY LLC,,BU,625 E 4TH ST  625-31 E 4th St,90802,False
237,BU07029090,DICK P AND ANNE DEKREEK,,BU,725 E 4TH ST  Includes 725-31 E 4th St,90802,False
238,BU20420170,CAMDEN DEVELOPMENT INC,CAMDEN HARBOR VIEW,BU,250 W OCEAN BLVD,90802,False
239,BU20420180,CAMDEN DEVELOPMENT INC,CAMDEN HARBOR VIEW,BU,300 W OCEAN BLVD,90802,False
240,BU03047617,GERALD P SALMON,,BU,626 E 5TH ST,90802,False
241,BU03047632,NNC LIME AVENUE LLC,,BU,425  LIME AVE,90802,False
242,BU03047642,TERUO SHIMIZU,,BU,426  ATLANTIC AVE,90802,False
243,BU03047651,PANTELIS N TSOULOUFAS,,BU,740 E 5TH ST,90802,False
244,BU03047700,DOUGLAS DIXON TRUST DRAKE,,BU,700 E 5TH ST,90802,False
245,BU20139930,GLORIA & VICTOR LARAGIONE,GLOVIC IMPORTS,BU,419  SHORELINE VILLAGE DR,90802,False
246,BU20356761,"YOON, TAMARA W TR & MARILYN LEE TR",,BU,"501  PINE AVE  121-123 W 5th,501-515 Pine Ave",90802,False
247,BU20719190,STEPHEN M GARCIA,"GARCIA, ARTIGLIERE, & MEDBY",BU,1  WORLD TRADE CENTER  1950,90831,False
248,BU20721220,SADDLEBACK CAR WASH LLC,,BU,1501  LONG BEACH BLVD,90813,False
249,BU20721221,"SAMAWI,HANNA S CO TR TRUST",,BU,1501  LONG BEACH BLVD,90813,False
250,BU07067791,"TRUONG, PHONG K TRUST ETAL",,BU,1002  PACIFIC AVE,90813,False
251,BU07067802,COMMUNITY CARE FOUNDATION INC,,BU,1021  PACIFIC AVE,90813,False
252,BU07067851,"TANG, C BRIAN CO TRUST",,BU,1248  PACIFIC AVE  1248-50 Pacific Ave,90813,False
253,BU20406100,NARINDER PAUL SINGH,,BU,1730  CANAL AVE,90813,False
254,BU04042640,"LIEBLEIN, MARVIN INC",FAMILY PHARMACY,BU,1400  ATLANTIC AVE,90813,False
255,BU20422958,VICTORIA MORENO,VICTORIOUS BARBER STUDIO,BU,428 E 1ST ST,90802,False
256,BU20530512,EUGENE CHATMAN,EUPHORIUM,BU,248  ELM AVE,90802,False
257,BU05022280,VINCE & KRISTEN J BUNTING,C H TOPPING CO,BU,520 W ESTHER ST,90813,False
258,BU20519190,GHT SUPPLY CORPORATION,WESTSIDE TRUCK & AUTO SUPPLY,BU,1442  CASPIAN AVE,90813,False
259,BU20601440,214 ASSOCIATES LLC,,BU,1910 W 16TH ST,90813,False
260,BU03034352,UNIEAST FINANCIAL CORPORATION,,BU,1357  ELM AVE,90813,False
261,BU20634500,P & L LAND & DEVELOPMENT INC,,BU,1569 W 16TH ST  1547-1569 W 16th St,90813,False
262,BU06064982,GRANT FALLON,,BU,1250  PINE AVE,90813,False
263,BU20011971,SERAFIN & DAVID T SILVA,S D S AMERICAN PRINTING CENTER,BU,519 W 17TH ST,90813,False
264,BU20636840,GARFIELD BEACH CVS LLC,CVS PHARMACY #9566,BU,596  LONG BEACH BLVD,90802,False
265,BU20434710,CONSTANTINO MAGNATTA,,BU,647  LINDEN AVE,90802,False
266,BU20434720,CONSTANTINO MAGNATTA,,BU,440 E 7TH ST  Includes 657 Linden Ave,90802,False
267,BU20304550,WEST BASIN CONTAINER TERMINAL LLC,,BU,111 W OCEAN BLVD 1610,90802,False
268,BU20717260,CARLOS CASTRO,,BU,746 E 5TH ST,90802,False
269,BU20555091,"CHIANG, PATRICK J CO TR TRUST",,BU,600  LONG BEACH BLVD,90802,False
270,BU20555140,BEAR WELDING INC,,BU,2340 W 17TH ST,90813,False
271,BU03034894,WALTER W WATSON,,BU,1600  MAGNOLIA AVE,90813,False
272,BU07059761,"WONG, THOMAS G TRUST",,BU,1002  LONG BEACH BLVD  Includes 1002-08 Long Beach Blvd,90813,False
273,BU07059781,33 DREAM TEAM LLC,,BU,1033  LONG BEACH BLVD,90813,False
274,BU07059800,TODD MGT CORP,,BU,1050  LONG BEACH BLVD  Includes 1048-56 Long Beach Blvd,90813,False
275,BU20451161,AL3 LLC,,BU,2350 W 16TH ST,90813,False
276,BU20610590,NATIONAL HEALTHCARE SERVICES,,BU,320  GOLDEN SHORE  120,90802,False
277,BU20521230,ATLAS FINANCIAL SERVICES LLC,,BU,235 E BROADWAY  1160,90802,False
278,BU03045803,CHARLES ROSELLI,,BU,535 W 3RD ST,90802,False
279,BU03045814,CEDAR GREEN LLC,,BU,527 W 3RD ST,90802,False
